whole_pipe_index,Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),Pressure (Pa),X (m),Y (m),Z (m),u,v,w,p,x,y,z,average_velocity
73,0.0002107948093907,0.0003188682603649,0,-7.03182905544416e-05,0.168014236756982,0.273187235206652,0,0.0002107948093907,0.0003188682603649,0,-7.03182905544416e-05,0.168014236756982,0.273187235206652,0,0.01
74,0.0004505960678216,0.0006321446853689,0,-7.10516981189766e-05,0.168213641139121,0.270718907062897,0,0.0004505960678216,0.0006321446853689,0,-7.10516981189766e-05,0.168213641139121,0.270718907062897,0,0.01
75,0.0007578037329949,0.001013564527966,0,-7.01771980019443e-05,0.17025739900018,0.270396169264455,0,0.0007578037329949,0.001013564527966,0,-7.01771980019443e-05,0.17025739900018,0.270396169264455,0,0.01
76,0.0020057549700141,0.0023437200579792,0,-6.78161780226264e-05,0.177457689044527,0.269965887156445,0,0.0020057549700141,0.0023437200579792,0,-6.78161780226264e-05,0.177457689044527,0.269965887156445,0,0.01
77,0.0016376082785427,0.0019625260028988,0,-6.87894969991128e-05,0.174823703717696,0.269442729344349,0,0.0016376082785427,0.0019625260028988,0,-6.87894969991128e-05,0.174823703717696,0.269442729344349,0,0.01
78,0.0013372055254876,0.0016408833907917,0,-6.99276853205273e-05,0.17224388897872,0.268614197427726,0,0.0013372055254876,0.0016408833907917,0,-6.99276853205273e-05,0.17224388897872,0.268614197427726,0,0.01
79,0.0028143168892711,0.0031180756632238,0,-6.71961130325288e-05,0.180228948467542,0.268449055652493,0,0.0028143168892711,0.0031180756632238,0,-6.71961130325288e-05,0.180228948467542,0.268449055652493,0,0.01
80,0.0041483337990939,0.0044195698574185,0,-6.46957496166862e-05,0.187718605556254,0.268796222206953,0,0.0041483337990939,0.0044195698574185,0,-6.46957496166862e-05,0.187718605556254,0.268796222206953,0,0.01
81,0.003476484445855,0.0037606982514262,0,-6.59749616361958e-05,0.183943906384464,0.268629015231662,0,0.003476484445855,0.0037606982514262,0,-6.59749616361958e-05,0.183943906384464,0.268629015231662,0,0.01
82,0.0050948839634656,0.005257939454168,0,-6.39367829964958e-05,0.190175134309251,0.266650727121919,0,0.0050948839634656,0.005257939454168,0,-6.39367829964958e-05,0.190175134309251,0.266650727121919,0,0.01
83,0.006213482003659,0.0061925263144075,0,-6.32059827345942e-05,0.192339610693098,0.263515198824053,0,0.006213482003659,0.0061925263144075,0,-6.32059827345942e-05,0.192339610693098,0.263515198824053,0,0.01
84,5.17332991876174e-05,8.15721577964723e-05,0,-7.05870299284091e-05,0.166725127128304,0.273954174883166,0,5.17332991876174e-05,8.15721577964723e-05,0,-7.05870299284091e-05,0.166725127128304,0.273954174883166,0,0.01
85,0.0002327843103557,0.0003494277771096,0,-7.12010214018938e-05,0.166994287667711,0.271472854942768,0,0.0002327843103557,0.0003494277771096,0,-7.12010214018938e-05,0.166994287667711,0.271472854942768,0,0.01
86,0.0004842258931603,0.0006774874054826,0,-7.18145532022728e-05,0.167076273722625,0.268952648001518,0,0.0004842258931603,0.0006774874054826,0,-7.18145532022728e-05,0.167076273722625,0.268952648001518,0,0.01
87,0.0006797526730224,0.0009239348582923,0,-7.11498279803451e-05,0.168511479787986,0.268987077422563,0,0.0006797526730224,0.0009239348582923,0,-7.11498279803451e-05,0.168511479787986,0.268987077422563,0,0.01
88,0.0010982813546434,0.0013807197101414,0,-7.1033895131303e-05,0.169884629029336,0.26762773268128,0,0.0010982813546434,0.0013807197101414,0,-7.1033895131303e-05,0.169884629029336,0.26762773268128,0,0.01
89,0.0017212404636666,0.0020219048019498,0,-7.05506633852878e-05,0.171783151999356,0.266037552044835,0,0.0017212404636666,0.0020219048019498,0,-7.05506633852878e-05,0.171783151999356,0.266037552044835,0,0.01
90,0.0024675722233951,0.0027649307157844,0,-6.84462426454131e-05,0.177076517195404,0.267282150869525,0,0.0024675722233951,0.0027649307157844,0,-6.84462426454131e-05,0.177076517195404,0.267282150869525,0,0.01
91,0.002116888994351,0.0024139005690813,0,-6.94727200372761e-05,0.174451343179893,0.266575166728408,0,0.002116888994351,0.0024139005690813,0,-6.94727200372761e-05,0.174451343179893,0.266575166728408,0,0.01
92,0.0033483458682894,0.0035622406285256,0,-6.78922278245558e-05,0.179389225242265,0.265343629420624,0,0.0033483458682894,0.0035622406285256,0,-6.78922278245558e-05,0.179389225242265,0.265343629420624,0,0.01
93,0.0038746492937207,0.0040587983094155,0,-6.68359059529962e-05,0.182368087332273,0.265573006627358,0,0.0038746492937207,0.0040587983094155,0,-6.68359059529962e-05,0.182368087332273,0.265573006627358,0,0.01
94,0.0055671855807304,0.005550991743803,0,-6.48788002602816e-05,0.187997792868016,0.262969672331187,0,0.0055671855807304,0.005550991743803,0,-6.48788002602816e-05,0.187997792868016,0.262969672331187,0,0.01
95,0.0044629746116697,0.0046332175843417,0,-6.54766218619732e-05,0.186065436508151,0.266070835404877,0,0.0044629746116697,0.0046332175843417,0,-6.54766218619732e-05,0.186065436508151,0.266070835404877,0,0.01
96,5.77696482650936e-05,9.02883839444257e-05,0,-7.15029944824857e-05,0.165705178045741,0.272239794615338,0,5.77696482650936e-05,9.02883839444257e-05,0,-7.15029944824857e-05,0.165705178045741,0.272239794615338,0,0.01
97,0.0002544175076764,0.0003842571459244,0,-7.20420291393784e-05,0.165974338179328,0.269758473777391,0,0.0002544175076764,0.0003842571459244,0,-7.20420291393784e-05,0.165974338179328,0.269758473777391,0,0.01
98,0.0004982309183105,0.0006913152174092,0,-7.28615119525772e-05,0.165961036081145,0.267458055156769,0,0.0004982309183105,0.0006913152174092,0,-7.28615119525772e-05,0.165961036081145,0.267458055156769,0,0.01
99,0.0007880316115915,0.0010511758737266,0,-7.20908770848506e-05,0.167362026574091,0.266844294687342,0,0.0007880316115915,0.0010511758737266,0,-7.20908770848506e-05,0.167362026574091,0.266844294687342,0,0.01
100,0.0013788170181214,0.001665553310886,0,-7.18662424861039e-05,0.169111542103389,0.26522634924207,0,0.0013788170181214,0.001665553310886,0,-7.18662424861039e-05,0.169111542103389,0.26522634924207,0,0.01
